,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
0,Wellbeing Nutrition Daily Greens Wholefood Multivitamin for ...,1180,590,FEATURED & BESTSELLER,5,Unisex,Energy-boosters,Others
1,"HealthKart HK Vitals Multivitamin for Women, Boosts Energy, ...",529,379,FEATURED,4,Others,Energy-boosters,Others
2,GNC Women's One Daily Multivitamin For Women,1449,899,FEATURED & BESTSELLER,5,Female,Energy-boosters,Others
3,Oziva Daily Women's Multivitamin Tablets For Energy,499,299,FEATURED & BESTSELLER,4,Female,Energy-boosters,Others
4,Carbamide Forte Novosules Woman+ Multivitamin for Women with...,770,499,FEATURED,4,Female,Energy-boosters,Others
5,"Swisse Women's Multivitamin for Energy, Stamina, Vitality an...",2349,1597,FEATURED & BESTSELLER,4,Female,Energy-boosters,Others
6,"Zingavita Multivitamin Tablets For Women - For Skin, Energy,...",799,349,FEATURED,5,Female,Energy-boosters,Others
7,Wellwoman Supplements UK's No.1 Multivitamin for Women (Even...,684,479,FEATURED,4,Female,Energy-boosters,Others
8,MuscleBlaze Daily Multivitamin for Women,799,549,FEATURED,4,Female,Energy-boosters,Capsule
9,Purna Gummies Multivitamin Strawberry Gummies with Vitamins ...,499,99,FEATURED & BESTSELLER,5,Female,Energy-boosters,Others
10,"Purna Gummies Kids Multivitamin Gummies for Growth, Immunity...",499,99,BESTSELLER,5,Unisex,Energy-boosters,Others
11,"HealthKart Hk Vitals Multivitamin For Women, Boosts Energy, ...",529,379,Rising Products,4,Unisex,Energy-boosters,Tablet
12,Purna Gummies Multivitamin Mango Gummies with Vitamins & Min...,499,99,Rising Products,5,Unisex,Energy-boosters,Others
13,Be Bodywise Healthy & Nourished Hair Kit - Biotin Hair Gummi...,1398,949,Rising Products,5,Unisex,Energy-boosters,Others
14,Be Bodywise Multivitamin Gummies 60 Days Pack - Boosts Immun...,799,549,Rising Products,4,Others,Energy-boosters,Others
15,OZiva Protein & Herbs for Women with Multivitamins for Metab...,1699,1555,Rising Products,4,Female,Energy-boosters,Powder
16,Neuherbs Hair Skin & Vitamins Supplement,999,699,Rising Products,4,Others,Energy-boosters,Others
17,HealthKart HK Vitals Multivitamin - 60 N + Fish Oil 1000mg -...,1657,1199,Rising Products,4,Others,Energy-boosters,Others
18,Healthkart Hk Vitals Multivitamin And Fish Oil Combo For Wom...,709,399,Rising Products,4,Unisex,Energy-boosters,Capsule
19,Nudge Biotin Hair Gummies - Strawberry Flavour,499,379,Rising Products,5,Unisex,Energy-boosters,Capsule
20,Purna Gummies Multivitamins Mango & Strawberry Combo,998,198,Rising Products,5,Unisex,Energy-boosters,Others
21,MuscleBlaze MB-VITE Multivitamin Tablets,1299,849,Rising Products,5,Unisex,Energy-boosters,Tablet
22,Carbamide Forte Novosules Daily Multivitamin with Probiotics...,1075,699,Rising Products,5,Unisex,Energy-boosters,Others
23,Nudge Collagen Skin Health Gummies - Golden Apple Flavour,549,417,Rising Products,5,Unisex,Energy-boosters,Capsule
24,HealthKart Hk Vitals Multivitamin With Probiotics & Fish Oil...,938,649,Rising Products,5,Unisex,Energy-boosters,Capsule
25,Wellbeing Nutrition Daily Greens Wholefood Multivitamin Natu...,590,348,Rising Products,4,Unisex,Energy-boosters,Others
